Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Lutjanus campechanus,2012,1.12163618435225,0.814597526051481,1.12163618435225,0.814597526051481
Lutjanus campechanus,2013,1.12318938201351,0.775910732233609,1.12318938201351,0.775910732233609
Lutjanus campechanus,2014,1.13136833143974,0.843127249292156,1.13136833143974,0.843127249292156
Lutjanus campechanus,2015,1.12653364178917,1.0583692382818,1.12653364178917,1.0583692382818
Lutjanus campechanus,2016,1.09184980341166,1.29529510719732,1.09184980341166,1.29529510719732
Lutjanus campechanus,2017,1.01840759965833,1.2994608787879,1.01840759965833,1.2994608787879
Lutjanus campechanus,2018,0.957124112206379,1.65481838589295,0.957124112206379,1.65481838589295
Lutjanus campechanus,2019,0.871095146674904,1.35344701779024,0.871095146674904,1.35344701779024
Lobatus gigas5,1951,1.38653405749099,0.0401428118862128,1.38653405749099,0.0401428118862128
Lobatus gigas5,1952,1.53677794482983,0.0362182292054246,1.53677794482983,0.0362182292054246
Lobatus gigas5,1953,1.65335596535005,0.0336644842430551,1.65335596535005,0.0336644842430551
Lobatus gigas5,1954,1.73048064069298,0.0321641135617669,1.73048064069298,0.0321641135617669
Lobatus gigas5,1955,1.79265128705728,0.0310486351949996,1.79265128705728,0.0310486351949996
Lobatus gigas5,1956,1.82462219387747,0.0305046031065791,1.82462219387747,0.0305046031065791
Lobatus gigas5,1957,1.84488744484665,0.0301695238910981,1.84488744484665,0.0301695238910981
Lobatus gigas5,1958,1.86038267786665,0.0299182402125534,1.86038267786665,0.0299182402125534
Lobatus gigas5,1959,1.87507497948502,0.0296838134222102,1.87507497948502,0.0296838134222102
Lobatus gigas5,1960,1.89326908165399,0.0293985553258299,1.89326908165399,0.0293985553258299
Lobatus gigas5,1961,1.89890434023688,0.0293113110883431,1.89890434023688,0.0293113110883431
Lobatus gigas5,1962,1.90329801998068,0.058487294432485,1.90329801998068,0.058487294432485
Lobatus gigas5,1963,1.89141760768016,0.0588546660638892,1.89141760768016,0.0588546660638892
Lobatus gigas5,1964,1.87023690840361,0.0595212035369331,1.87023690840361,0.0595212035369331
Lobatus gigas5,1965,1.86157770444542,0.0597980688217033,1.86157770444542,0.0597980688217033
Lobatus gigas5,1966,1.86121596160639,0.0598096910749132,1.86121596160639,0.0598096910749132
Lobatus gigas5,1967,1.86081407444245,0.0598226084036526,1.86081407444245,0.0598226084036526
Lobatus gigas5,1968,1.86077576563134,0.0598238400044977,1.86077576563134,0.0598238400044977
Lobatus gigas5,1969,1.85821568118346,0.0599062599754187,1.85821568118346,0.0599062599754187
Lobatus gigas5,1970,1.84950776616046,0.030094156327462,1.84950776616046,0.030094156327462
Lobatus gigas5,1971,1.86036260985196,0.0299185629451654,1.86036260985196,0.0299185629451654
Lobatus gigas5,1972,1.85767491634971,0.0299618492739609,1.85767491634971,0.0299618492739609
Lobatus gigas5,1973,1.84733271379234,0.0301295892332391,1.84733271379234,0.0301295892332391
Lobatus gigas5,1974,1.81452506296518,0.0619853363152563,1.81452506296518,0.0619853363152563
Lobatus gigas5,1975,1.80114089855147,0.155735873267728,1.80114089855147,0.155735873267728
Lobatus gigas5,1976,1.68929236639135,0.214164196903829,1.68929236639135,0.214164196903829
Lobatus gigas5,1977,1.84968015487504,0.106228148677153,1.84968015487504,0.106228148677153
Lobatus gigas5,1978,1.63455930374256,0.196471364552969,1.63455930374256,0.196471364552969
Lobatus gigas5,1979,1.44462831756975,0.293616320437753,1.44462831756975,0.293616320437753
Lobatus gigas5,1980,1.44592083821018,0.21556678380158,1.44592083821018,0.21556678380158
Lobatus gigas5,1981,1.45302769954486,0.145995657490968,1.45302769954486,0.145995657490968
Lobatus gigas5,1982,1.24580795837979,0.173820110782285,1.24580795837979,0.173820110782285
Lobatus gigas5,1983,1.29425086130027,0.273122897594537,1.29425086130027,0.273122897594537
Lobatus gigas5,1984,1.34193699577254,0.225227349385547,1.34193699577254,0.225227349385547
Lobatus gigas5,1985,1.36766352376309,0.308450181268505,1.36766352376309,0.308450181268505
Lobatus gigas5,1986,1.31424691751781,0.382835026951523,1.31424691751781,0.382835026951523
Lobatus gigas5,1987,1.26349008783291,0.173548601130835,1.26349008783291,0.173548601130835
Lobatus gigas5,1988,1.24489021463027,0.265140328555099,1.24489021463027,0.265140328555099
Lobatus gigas5,1989,1.18894332890278,0.296784069293332,1.18894332890278,0.296784069293332
Lobatus gigas5,1990,1.37222869620335,0.172806431820184,1.37222869620335,0.172806431820184
Lobatus gigas5,1991,1.52417469482395,0.185137920683734,1.52417469482395,0.185137920683734
Lobatus gigas5,1992,1.72477438301204,0.141685873623719,1.72477438301204,0.141685873623719
Lobatus gigas5,1993,1.88967242022105,0.217352056502081,1.88967242022105,0.217352056502081
Lobatus gigas5,1994,1.92819264444363,0.201790284583691,1.92819264444363,0.201790284583691
Lobatus gigas5,1995,1.90781765496574,0.278037239134837,1.90781765496574,0.278037239134837
Lobatus gigas5,1996,1.87419837991943,0.285994426676852,1.87419837991943,0.285994426676852
Lobatus gigas5,1997,1.87830255631626,0.218332280456969,1.87830255631626,0.218332280456969
Lobatus gigas5,1998,1.98494608164483,0.206602126022918,1.98494608164483,0.206602126022918
Lobatus gigas5,1999,2.00028589057108,0.21919309582127,2.00028589057108,0.21919309582127
Lobatus gigas5,2000,1.99793136518841,0.179818748870578,1.99793136518841,0.179818748870578
Lobatus gigas5,2001,1.89096780810162,0.216814406391195,1.89096780810162,0.216814406391195
Lobatus gigas5,2002,1.81517705850137,0.250513632675222,1.81517705850137,0.250513632675222
Lobatus gigas5,2003,1.8647202628274,0.216487164026442,1.8647202628274,0.216487164026442
Lobatus gigas5,2004,1.89579867981441,0.192386692846135,1.89579867981441,0.192386692846135
Lobatus gigas5,2005,2.02665273017393,0.19773861604803,2.02665273017393,0.19773861604803
Lobatus gigas5,2006,2.17509083971787,0.174104816315047,2.17509083971787,0.174104816315047
Lobatus gigas5,2007,2.34430088189151,0.176948223572813,2.34430088189151,0.176948223572813
Lobatus gigas5,2008,1.83671703091208,0.177476935812834,1.83671703091208,0.177476935812834
Lobatus gigas5,2009,1.51648796165391,0.278595134708423,1.51648796165391,0.278595134708423
Lobatus gigas5,2010,1.27956674708414,0.38098217177758,1.27956674708414,0.38098217177758
Lobatus gigas5,2011,1.22258457346845,0.32082939837022,1.22258457346845,0.32082939837022
Lobatus gigas5,2012,1.32969782811584,0.199342019396898,1.32969782811584,0.199342019396898
Lobatus gigas5,2013,1.45122263322133,0.155078142456633,1.45122263322133,0.155078142456633
Lobatus gigas5,2014,1.55340060926437,0.0835598134833746,1.55340060926437,0.0835598134833746
Lobatus gigas5,2015,1.64916997366419,0.0800446520242455,1.64916997366419,0.0800446520242455
Lobatus gigas5,2016,1.71601084050423,0.0913697092546893,1.71601084050423,0.0913697092546893
Lobatus gigas5,2017,1.75619737588656,0.111045520003127,1.75619737588656,0.111045520003127
Lobatus gigas5,2018,1.77205580819477,0.121311761735064,1.77205580819477,0.121311761735064
Lobatus gigas5,2019,1.76731477041453,0.0454579650452166,1.76731477041453,0.0454579650452166
Thunnus atlanticus,1951,1.38612236198191,0.0150729708378091,1.38612236198191,0.0150729708378091
Thunnus atlanticus,1952,1.2952314802493,0.0161306934384941,1.2952314802493,0.0161306934384941
Thunnus atlanticus,1953,1.08977944748484,0.0213019473170654,1.08977944748484,0.0213019473170654
Thunnus atlanticus,1954,0.973056051814268,0.0286286788937916,0.973056051814268,0.0286286788937916
Thunnus atlanticus,1955,0.879262725248488,0.0158412886462226,0.879262725248488,0.0158412886462226
Thunnus atlanticus,1956,0.800975350334989,0.0289826951201854,0.800975350334989,0.0289826951201854
Thunnus atlanticus,1957,0.805815607669298,0.0345703272410228,0.805815607669298,0.0345703272410228
Thunnus atlanticus,1958,0.827042085711396,0.0533315136912184,0.827042085711396,0.0533315136912184
Thunnus atlanticus,1959,0.810819908663887,0.057261604283488,0.810819908663887,0.057261604283488
Thunnus atlanticus,1960,0.75974538318686,0.061111064025599,0.75974538318686,0.061111064025599
Thunnus atlanticus,1961,0.750996425027083,0.0525495463449103,0.750996425027083,0.0525495463449103
Thunnus atlanticus,1962,0.75244722526219,0.0709593633623188,0.75244722526219,0.0709593633623188
Thunnus atlanticus,1963,0.800931696143511,0.0695622595214656,0.800931696143511,0.0695622595214656
Thunnus atlanticus,1964,0.732470573391834,0.076063968342245,0.732470573391834,0.076063968342245
Thunnus atlanticus,1965,0.662262983605407,0.0771169986771053,0.662262983605407,0.0771169986771053
Thunnus atlanticus,1966,0.647767685358135,0.0716751542328267,0.647767685358135,0.0716751542328267
Thunnus atlanticus,1967,0.662481057333156,0.0805957777619856,0.662481057333156,0.0805957777619856
Thunnus atlanticus,1968,0.750037203415216,0.0649971641018077,0.750037203415216,0.0649971641018077
Thunnus atlanticus,1969,0.706867279019964,0.0788190656997846,0.706867279019964,0.0788190656997846
Thunnus atlanticus,1970,0.679143178622828,0.123054946864992,0.679143178622828,0.123054946864992
Thunnus atlanticus,1971,0.717160749772364,0.110057672437732,0.717160749772364,0.110057672437732
Thunnus atlanticus,1972,0.741825181395057,0.0938809774584071,0.741825181395057,0.0938809774584071
Thunnus atlanticus,1973,0.611859263059984,0.0371819751101187,0.611859263059984,0.0371819751101187
Thunnus atlanticus,1974,0.669698337991724,0.0529665947137585,0.669698337991724,0.0529665947137585
Thunnus atlanticus,1975,0.728104077644155,0.0376861639108495,0.728104077644155,0.0376861639108495
Thunnus atlanticus,1976,0.796811107026169,0.0506934429763135,0.796811107026169,0.0506934429763135
Thunnus atlanticus,1977,0.776629175006363,0.0540433975767822,0.776629175006363,0.0540433975767822
Thunnus atlanticus,1978,0.798564887478675,0.0603496920080469,0.798564887478675,0.0603496920080469
Thunnus atlanticus,1979,0.802851134905901,0.0521047936654346,0.802851134905901,0.0521047936654346
Thunnus atlanticus,1980,0.739453147245722,0.0601195935788229,0.739453147245722,0.0601195935788229
Thunnus atlanticus,1981,0.814825135202692,0.0800855841407493,0.814825135202692,0.0800855841407493
Thunnus atlanticus,1982,0.81070976312386,0.0857609025736108,0.81070976312386,0.0857609025736108
Thunnus atlanticus,1983,0.768942253285825,0.0875512178023719,0.768942253285825,0.0875512178023719
Thunnus atlanticus,1984,0.818816967407099,0.0903835507341302,0.818816967407099,0.0903835507341302
Thunnus atlanticus,1985,0.756086199109838,0.0696660367226098,0.756086199109838,0.0696660367226098
Thunnus atlanticus,1986,0.727508945278777,0.369894568487205,0.727508945278777,0.369894568487205
Thunnus atlanticus,1987,0.65305577903429,0.172084884660034,0.65305577903429,0.172084884660034
Thunnus atlanticus,1988,0.61127469411662,0.137704870826717,0.61127469411662,0.137704870826717
